day	hour	value
1	1	11
1	2	28
1	3	14
1	4	28
1	5	32
1	6	25
1	7	24
1	8	47
1	9	15
1	10	25
1	11	26
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
3	1	54
3	2	34
3	3	0
3	4	27
3	5	0
3	6	0
3	7	24
3	8	0
3	9	0
3	10	50
3	11	50
